OBJECTID *,SHAPE *,Fire ID,Fire Year,Decade,Fire Number,Fire District,Area (ha) of full polygon,Perimeter Source,Drafting Method,Comments,SHAPE_Length,SHAPE_Area (within inventory region only)
174,Polygon Z,2010DA003,2010,2010,3,Dawson,0,LandSAT,Multi-Acquisition Fire Mapping System (MAFiMS),Updated 2025 from NBAC,77855.53393,13447815.08
200,Polygon Z,2011DA003,2011,2010,3,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,141219.6773,25418818.65
132,Polygon Z,2012DA003,2012,2010,3,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,51109.29608,7370318.051
96,Polygon Z,2013DA019,2013,2010,19,Dawson,0.902448,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up,location updated using NBAC or require an ignition point,359.908489,9024.478076
114,Polygon Z,2013DA028,2013,2010,28,Dawson,16.683717,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up,location updated using NBAC or require an ignition point,2006.699233,166837.1702
160,Polygon Z,2013DA003,2013,2010,3,Dawson,7.23067,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,1172.747798,72306.74579
167,Polygon Z,2013DA009,2013,2010,9,Dawson,170.47835,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,8634.023725,1704783.524
178,Polygon Z,2013DA034,2013,2010,34,Dawson,81.09128,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,6152.753643,810912.8369
179,Polygon Z,2013DA025,2013,2010,25,Dawson,9324.41563,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,212097.5196,93244156.27
194,Polygon Z,2013DA029,2013,2010,29,Dawson,0.848403,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up,location updated using NBAC or require an ignition point,381.185554,8484.026854
77,Polygon Z,2015DA008,2015,2010,8,8,0,LandSAT,Multi-Acquisition Fire Mapping System (MAFiMS),Updated 2025 from NBAC,35980.63715,9112323.812
157,Polygon Z,2015DA014,2015,2010,14,Dawson,377.656945,LandSAT,Multi-Acquisition Fire Mapping System (MAFiMS),location updated using NBAC or require an ignition point,19131.92556,3776569.468
171,Polygon Z,2016DA001,2016,2010,1,Dawson,277.60456,GPS Trace,GPS: Heliborne Trace, ,8415.266506,2776045.626
18,Polygon Z,2017DA001,2017,2010,1,Dawson,0,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,143937.2435,113941037.3
41,Polygon Z,2017DA006,2017,2010,6,Dawson,1131.4443,GPS Trace,GPS: Ground Trace,Collected 6-29-2017,20261.44724,11314442.99
139,Polygon Z,2017DA019,2017,2010,19,Dawson,10.54633,GPS Trace,GPS: Heliborne Trace,Collected 7-6-2017,1505.713999,105463.3126
143,Polygon Z,2017DA018,2017,2010,18,Dawson,0.743654,GPS Trace,GPS: Ground Trace,location updated using NBAC or require an ignition point,358.620736,7436.541778
4,Polygon Z,2018DA009,2018,2010,9,Dawson,1831.64952,30m LandSAT 8 Satellite Imagery,Digitize: Heads-up, ,30019.40313,18316495.16
159,Polygon Z,2018DA001,2018,2010,1,Dawson,2591.68936,30m LandSAT 8 Satellite Imagery,Digitize: Heads-up, ,31367.02034,25916893.6
100,Polygon Z,2019DA010,2019,2010,10,Dawson,0,LandSAT,Multi-Acquisition Fire Mapping System (MAFiMS),Updated 2025 from NBAC,36564.44314,18248109.91
108,Polygon Z,2019DA013,2019,2010,13,Dawson,812.80821,30m LandSAT 8 Satellite Imagery,Digitize: Heads-up,collected 07-17-2019,15163.19781,8128082.144
109,Polygon Z,2019DA017,2019,2010,17,Dawson,0,LandSAT,Multi-Acquisition Fire Mapping System (MAFiMS),Updated 2025 from NBAC,105892.8577,67440648.72
168,Polygon Z,2019DA020,2019,2010,20,Dawson,14431.69846,30m LandSAT 8 Satellite Imagery,Digitize: Heads-up,collected 7-11-19,68111.35322,144316984.6
17,Polygon Z,2021DA014,2021,2020,14,Dawson,177.611176,LandSAT,Multi-Acquisition Fire Mapping System (MAFiMS),location updated using NBAC or require an ignition point,7458.166623,1776111.757
22,Polygon Z,2021DA024,2021,2020,24,Dawson,0,LandSAT,Multi-Acquisition Fire Mapping System (MAFiMS),Updated 2025 from NBAC,108368.5545,64255368.52
6,Polygon Z,2022DA036,2022,2020,36,Dawson,35.760461,30m LandSAT 8 Satellite Imagery,Digitize: Heads-up,location updated using NBAC or require an ignition point,2590.666706,357604.6088
14,Polygon Z,2022DA010,2022,2020,10,Dawson,23.7,GPS Trace,GPS: Heliborne Trace, ,2793.264877,237320.4477
75,Polygon Z,2022DA018,2022,2020,20,Dawson,0,Sentinel-2,Multi-Acquisition Fire Mapping System (MAFiMS),Updated 2025 from NBAC,1238.553491,46043.10015
88,Polygon Z,2022DA028,2022,2020,28,Dawson,64.291805,30m LandSAT 8 Satellite Imagery,Digitize: Heads-up,location updated using NBAC or require an ignition point,3558.622243,642918.0467
90,Polygon Z,2022DA011,2022,2020,11,Dawson,11.779923,GPS Trace,GPS: Heliborne Trace,location updated using NBAC or require an ignition point,2840.066736,117799.2337
116,Polygon Z,2022DA005,2022,2020,5,Dawson,16.2,30m LandSAT 8 Satellite Imagery,Digitize: Heads-up, ,1497.955976,162235.713
128,Polygon Z,2022DA020,2022,2020,20,Dawson,0,Sentinel-2,Multi-Acquisition Fire Mapping System (MAFiMS),Updated 2025 from NBAC,2264.351814,207796.2129
36,Polygon Z,2023DA049,2023,2020,49,Dawson,64.1,30m LandSAT 9 Satellite Imagery,Digitize: Heads-up, ,3465.799112,640808.3163
70,Polygon Z,2023DA048,2023,2020,48,Dawson,73.2,30m LandSAT 9 Satellite Imagery,Digitize: Heads-up, ,5069.384434,732289.3631
76,Polygon Z,2023DA055,2023,2020,55,Dawson,0,Sentinel-2,"Multi-Acquisition Fire Mapping System (MAFiMS)",Updated 2025 from NBAC,21616.89789,3272932.123
78,Polygon Z,2023DA009,2023,2020,9,Dawson,398.9,30m LandSAT 9 Satellite Imagery,Digitize: Heads-up, ,8573.533182,3989160.64
131,Polygon Z,2023DA017,2023,2020,17,Dawson,1105.4,30m LandSAT 9 Satellite Imagery,Digitize: Heads-up, ,16475.1481,11053961.79
